Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_174940_008545,0.0,64,172.99,5,236.99,241.99,17.11
2,20250528_174940_333056,1.8,64,177.64,5,241.64,246.64,17.03
3,20250528_174940_747054,3.6,64,195.08,5,259.08,264.08,18.33
4,20250528_174941_014463,5.4,64,204.18,5,268.18,273.18,18.45
5,20250528_174941_366372,7.2,64,254.08,5,318.08,323.08,19.76
6,20250528_174941_769446,9.0,64,202.18,5,266.18,271.18,18.92
7,20250528_174942_105659,10.8,64,193.81,5,257.81,262.81,18.8
8,20250528_174942_529652,12.6,64,232.96,5,296.96,301.96,18.21
9,20250528_174942_823129,14.4,64,155.18,5,219.18,224.18,17.71
10,20250528_174943_164478,16.2,64,301.95,5,365.95,370.95,16.83
11,20250528_174943_596766,18.0,64,197.02,5,261.02,266.02,16.95
12,20250528_174943_903604,19.8,64,168.85,5,232.85,237.85,16.41
13,20250528_174944_283637,21.6,64,284.74,5,348.74,353.74,16.52
14,20250528_174944_662849,23.4,64,108.85,5,172.85,177.85,17.06
15,20250528_174945_026407,25.2,64,217.42,5,281.42,286.42,16.5
16,20250528_174945_304992,27.0,64,193.06,5,257.06,262.06,17.03
17,20250528_174945_626420,28.8,64,147.61,5,211.61,216.61,18.34
18,20250528_174945_936258,30.6,64,168.16,5,232.16,237.16,16.59
19,20250528_174946_245940,32.4,64,145.15,5,209.15,214.15,16.6
20,20250528_174946_500893,34.2,64,203.57,5,267.57,272.57,16.68
RESUMEN,-,-,64,196.22,5,260.22,265.22,17.49
TOTAL,-,-,-,-,-,7383.38,-,-
