Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_131107_549957,0.0,640,187.26,5,827.26,832.26,81.58
2,20250528_131108_460334,1.8,640,187.84,5,827.84,832.84,81.89
3,20250528_131109_444195,3.6,640,311.26,5,951.26,956.26,82.91
4,20250528_131110_379831,5.4,640,164.0,5,804.0,809.0,83.08
5,20250528_131111_352952,7.2,640,313.93,5,953.93,958.93,83.8
6,20250528_131112_382877,9.0,640,298.78,5,938.78,943.78,83.6
7,20250528_131113_415334,10.8,640,338.09,5,978.09,983.09,81.78
8,20250528_131114_363906,12.6,640,190.43,5,830.43,835.43,80.55
9,20250528_131115_177395,14.4,640,94.6,5,734.6,739.6,78.72
10,20250528_131116_044971,16.2,640,183.38,5,823.38,828.38,77.66
11,20250528_131117_008508,18.0,640,264.93,5,904.93,909.93,77.83
12,20250528_131117_988559,19.8,640,265.54,5,905.54,910.54,79.88
13,20250528_131118_913534,21.6,640,224.34,5,864.34,869.34,80.36
14,20250528_131119_886970,23.4,640,307.15,5,947.15,952.15,80.58
15,20250528_131120_897870,25.2,640,310.94,5,950.94,955.94,80.1
16,20250528_131121_887488,27.0,640,251.3,5,891.3,896.3,80.7
17,20250528_131122_904136,28.8,640,327.74,5,967.74,972.74,80.82
18,20250528_131123_941679,30.6,640,339.89,5,979.89,984.89,80.38
19,20250528_131124_823023,32.4,640,118.58,5,758.58,763.58,79.71
20,20250528_131125_741949,34.2,640,221.26,5,861.26,866.26,79.45
RESUMEN,-,-,640,245.06,5,885.06,890.06,80.77
TOTAL,-,-,-,-,-,19626.79,-,-
