Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144310_066233,542.06,510.06,N/A
2,20250519_144310_902689,553.22,521.22,0.0
3,20250519_144311_424286,519.84,487.84,1.8
4,20250519_144311_939315,513.76,481.76,3.6
5,20250519_144312_458433,518.8,486.8,5.4
6,20250519_144312_978427,519.09,487.09,7.2
7,20250519_144313_498421,518.8,486.8,9.0
8,20250519_144314_015032,517.15,485.15,10.8
9,20250519_144314_545866,529.61,497.61,12.6
10,20250519_144315_083307,535.33,503.33,14.4
11,20250519_144315_617856,534.29,502.29,16.2
12,20250519_144316_141677,522.29,490.29,18.0
13,20250519_144316_665890,524.27,492.27,19.8
14,20250519_144317_202421,535.93,503.93,21.6
15,20250519_144317_744350,541.65,509.65,23.4
16,20250519_144318_275380,530.15,498.15,25.2
17,20250519_144318_801814,525.53,493.53,27.0
18,20250519_144319_342388,540.11,508.11,28.8
19,20250519_144319_873482,529.13,497.13,30.6
20,20250519_144320_399229,526.27,494.27,32.4
