Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144510_380373,1608.14,1576.14,N/A
2,20250519_144512_148239,1747.1,1715.1,0.0
3,20250519_144513_896335,1735.71,1703.71,1.8
4,20250519_144515_629804,1717.74,1685.74,3.6
5,20250519_144517_347185,1701.0,1669.0,5.4
6,20250519_144519_051486,1687.64,1655.64,7.2
7,20250519_144520_751461,1686.27,1654.27,9.0
8,20250519_144522_424472,1660.25,1628.25,10.8
9,20250519_144524_152501,1715.04,1683.04,12.6
10,20250519_144525_805159,1639.17,1607.17,14.4
11,20250519_144527_483511,1661.84,1629.84,16.2
12,20250519_144529_162319,1664.71,1632.71,18.0
13,20250519_144530_820239,1640.61,1608.61,19.8
14,20250519_144532_470460,1635.8,1603.8,21.6
15,20250519_144534_111338,1624.15,1592.15,23.4
16,20250519_144535_762409,1637.42,1605.42,25.2
17,20250519_144537_439051,1662.03,1630.03,27.0
18,20250519_144539_078609,1626.74,1594.74,28.8
19,20250519_144540_676433,1584.93,1552.93,30.6
20,20250519_144542_382101,1693.05,1661.05,32.4
