Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250521_160755_260390,251.55,-228.45,0.0
2,20250521_160755_537080,275.07,-204.93,1.8
3,20250521_160755_824746,285.59,-194.41,3.6
4,20250521_160756_101299,274.62,-205.38,5.4
5,20250521_160756_380238,276.93,-203.07,7.2
6,20250521_160756_611485,229.79,-250.21,9.0
7,20250521_160756_889061,276.44,-203.56,10.8
8,20250521_160757_182178,290.64,-189.36,12.6
9,20250521_160757_529645,347.35,-132.65,14.4
10,20250521_160757_948077,413.83,-66.17,16.2
11,20250521_160758_439786,491.5,11.5,18.0
12,20250521_160758_910402,470.75,-9.25,19.8
13,20250521_160759_455343,544.07,64.07,21.6
14,20250521_160759_887019,428.66,-51.34,23.4
15,20250521_160800_352683,464.64,-15.36,25.2
16,20250521_160800_834780,482.23,2.23,27.0
17,20250521_160801_334740,499.72,19.72,28.8
18,20250521_160801_816450,479.17,-0.83,30.6
19,20250521_160802_298694,479.65,-0.35,32.4
20,20250521_160802_773322,472.52,-7.48,34.2
