Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250521_160812_690663,256.64,224.64,0.0
2,20250521_160812_952709,258.03,226.03,1.8
3,20250521_160813_200640,254.37,222.37,3.6
4,20250521_160813_444922,234.15,202.15,5.4
5,20250521_160813_696086,248.01,216.01,7.2
6,20250521_160813_930147,233.19,201.19,9.0
7,20250521_160814_212950,278.94,246.94,10.8
8,20250521_160814_491396,275.02,243.02,12.6
9,20250521_160814_717153,224.05,192.05,14.4
10,20250521_160815_007226,286.51,254.51,16.2
11,20250521_160815_231967,223.13,191.13,18.0
12,20250521_160815_491664,257.01,225.01,19.8
13,20250521_160815_713545,220.92,188.92,21.6
14,20250521_160815_981075,280.37,248.37,23.4
15,20250521_160816_242345,237.21,205.21,25.2
16,20250521_160816_486032,242.54,210.54,27.0
17,20250521_160816_712856,225.43,193.43,28.8
18,20250521_160816_978336,262.63,230.63,30.6
19,20250521_160817_269638,287.36,255.36,32.4
20,20250521_160817_533873,261.2,229.2,34.2
