Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250521_160702_876954,246.01,-73.99,0.0
2,20250521_160703_157883,278.55,-41.45,1.8
3,20250521_160703_385632,225.79,-94.21,3.6
4,20250521_160703_653159,264.01,-55.99,5.4
5,20250521_160703_926526,270.4,-49.6,7.2
6,20250521_160704_201777,271.7,-48.3,9.0
7,20250521_160704_482806,278.63,-41.37,10.8
8,20250521_160704_759913,273.84,-46.16,12.6
9,20250521_160705_040748,276.77,-43.23,14.4
10,20250521_160705_314772,272.38,-47.62,16.2
11,20250521_160705_593772,275.25,-44.75,18.0
12,20250521_160705_872128,275.47,-44.53,19.8
13,20250521_160706_151580,275.95,-44.05,21.6
14,20250521_160706_448063,346.23,26.23,23.4
15,20250521_160706_783250,280.78,-39.22,25.2
16,20250521_160707_064072,277.91,-42.09,27.0
17,20250521_160707_347028,279.48,-40.52,28.8
18,20250521_160707_630354,280.18,-39.82,30.6
19,20250521_160707_909148,275.89,-44.11,32.4
20,20250521_160708_194942,281.84,-38.16,34.2
