Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144626_361097,895.65,863.65,N/A
2,20250519_144627_549233,1019.46,987.46,0.0
3,20250519_144628_519264,963.37,931.37,1.8
4,20250519_144629_491362,964.58,932.58,3.6
5,20250519_144630_457108,959.02,927.02,5.4
6,20250519_144631_394303,931.54,899.54,7.2
7,20250519_144632_375677,974.32,942.32,9.0
8,20250519_144633_315059,931.48,899.48,10.8
9,20250519_144634_286466,964.54,932.54,12.6
10,20250519_144635_220038,926.47,894.47,14.4
11,20250519_144636_165051,938.57,906.57,16.2
12,20250519_144637_099878,928.64,896.64,18.0
13,20250519_144638_060833,955.09,923.09,19.8
14,20250519_144639_049917,981.02,949.02,21.6
15,20250519_144640_080162,1022.88,990.88,23.4
16,20250519_144641_152480,1065.77,1033.77,25.2
17,20250519_144642_189668,1028.2,996.2,27.0
18,20250519_144643_298533,1099.32,1067.32,28.8
19,20250519_144644_393930,1088.2,1056.2,30.6
20,20250519_144645_480388,1081.14,1049.14,32.4
