Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144929_588307,1502.59,1470.59,N/A
2,20250519_144931_418969,1803.55,1771.55,0.0
3,20250519_144933_101370,1671.45,1639.45,1.8
4,20250519_144934_752545,1639.04,1607.04,3.6
5,20250519_144936_330162,1559.16,1527.16,5.4
6,20250519_144937_937240,1594.36,1562.36,7.2
7,20250519_144939_545309,1594.6,1562.6,9.0
8,20250519_144941_087076,1528.14,1496.14,10.8
9,20250519_144942_581983,1482.26,1450.26,12.6
10,20250519_144944_094244,1498.61,1466.61,14.4
11,20250519_144945_589042,1482.8,1450.8,16.2
12,20250519_144947_084076,1482.16,1450.16,18.0
13,20250519_144948_625450,1528.95,1496.95,19.8
14,20250519_144950_132259,1490.95,1458.95,21.6
15,20250519_144951_613773,1468.05,1436.05,23.4
16,20250519_144953_105437,1478.94,1446.94,25.2
17,20250519_144954_647033,1529.94,1497.94,27.0
18,20250519_144956_139510,1478.28,1446.28,28.8
19,20250519_144957_678580,1527.42,1495.42,30.6
20,20250519_144959_348711,1656.23,1624.23,32.4
