Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_175025_915068,0.0,320,216.05,5,536.05,541.05,52.01
2,20250528_175026_523838,1.8,320,214.45,5,534.45,539.45,52.7
3,20250528_175027_052014,3.6,320,120.55,5,440.55,445.55,53.78
4,20250528_175027_577406,5.4,320,247.08,5,567.08,572.08,54.43
5,20250528_175028_202408,7.2,320,410.51,5,730.51,735.51,55.25
6,20250528_175029_019885,9.0,320,279.2,5,599.2,604.2,56.05
7,20250528_175029_689239,10.8,320,230.63,5,550.63,555.63,55.22
8,20250528_175030_255153,12.6,320,116.01,5,436.01,441.01,54.18
9,20250528_175030_839410,14.4,320,341.85,5,661.85,666.85,52.08
10,20250528_175031_500916,16.2,320,239.3,5,559.3,564.3,50.2
11,20250528_175032_237857,18.0,320,316.56,5,636.56,641.56,50.08
12,20250528_175032_870223,19.8,320,236.4,5,556.4,561.4,50.11
13,20250528_175033_527410,21.6,320,206.48,5,526.48,531.48,50.8
14,20250528_175034_156520,23.4,320,222.26,5,542.26,547.26,51.79
15,20250528_175034_722068,25.2,320,147.13,5,467.13,472.13,51.79
16,20250528_175035_342675,27.0,320,223.42,5,543.42,548.42,52.46
17,20250528_175035_876264,28.8,320,213.67,5,533.67,538.67,53.11
18,20250528_175036_480606,30.6,320,223.04,5,543.04,548.04,51.6
19,20250528_175037_115166,32.4,320,185.57,5,505.57,510.57,50.37
20,20250528_175037_698685,34.2,320,252.46,5,572.46,577.46,50.25
RESUMEN,-,-,320,232.13,5,552.13,557.13,52.41
TOTAL,-,-,-,-,-,12946.21,-,-
