Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_130953_127268,0.0,64,93.09,5,157.09,162.09,20.29
2,20250528_130953_345131,1.8,64,85.19,5,149.19,154.19,19.53
3,20250528_130953_562442,3.6,64,122.28,5,186.28,191.28,20.78
4,20250528_130953_809966,5.4,64,87.77,5,151.77,156.77,21.04
5,20250528_130954_064026,7.2,64,134.36,5,198.36,203.36,20.53
6,20250528_130954_401177,9.0,64,181.43,5,245.43,250.43,21.21
7,20250528_130954_752448,10.8,64,224.54,5,288.54,293.54,20.66
8,20250528_130955_059785,12.6,64,126.19,5,190.19,195.19,20.33
9,20250528_130955_297464,14.4,64,102.12,5,166.12,171.12,19.38
10,20250528_130955_703114,16.2,64,169.96,5,233.96,238.96,18.14
11,20250528_130955_935598,18.0,64,117.12,5,181.12,186.12,19.41
12,20250528_130956_331974,19.8,64,263.23,5,327.23,332.23,18.66
13,20250528_130956_608157,21.6,64,111.69,5,175.69,180.69,19.76
14,20250528_130956_879068,23.4,64,129.4,5,193.4,198.4,18.73
15,20250528_130957_174488,25.2,64,164.78,5,228.78,233.78,18.8
16,20250528_130957_539085,27.0,64,202.93,5,266.93,271.93,20.09
17,20250528_130957_868470,28.8,64,211.32,5,275.32,280.32,19.09
18,20250528_130958_101162,30.6,64,95.43,5,159.43,164.43,18.55
19,20250528_130958_348443,32.4,64,87.98,5,151.98,156.98,18.28
20,20250528_130958_668809,34.2,64,196.1,5,260.1,265.1,18.94
RESUMEN,-,-,64,145.35,5,209.35,214.35,19.61
TOTAL,-,-,-,-,-,6254.95,-,-
