Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_145044_050516,822.67,790.67,N/A
2,20250519_145045_261466,971.33,939.33,0.0
3,20250519_145046_264752,997.07,965.07,1.8
4,20250519_145047_217253,945.61,913.61,3.6
5,20250519_145048_142413,917.35,885.35,5.4
6,20250519_145049_049830,900.66,868.66,7.2
7,20250519_145049_930636,872.84,840.84,9.0
8,20250519_145050_810273,872.02,840.02,10.8
9,20250519_145051_695397,878.15,846.15,12.6
10,20250519_145052_571444,868.73,836.73,14.4
11,20250519_145053_442218,865.26,833.26,16.2
12,20250519_145054_319309,869.7,837.7,18.0
13,20250519_145055_194958,870.77,838.77,19.8
14,20250519_145056_028173,825.78,793.78,21.6
15,20250519_145056_896063,861.88,829.88,23.4
16,20250519_145057_791299,890.81,858.81,25.2
17,20250519_145058_632589,833.6,801.6,27.0
18,20250519_145059_455456,816.7,784.7,28.8
19,20250519_145100_287307,825.12,793.12,30.6
20,20250519_145101_131617,836.05,804.05,32.4
