Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_174519_742300,0.0,32,160.7,5,192.7,197.7,8.74
2,20250528_174520_035507,1.8,32,201.22,5,233.22,238.22,8.94
3,20250528_174520_370608,3.6,32,120.97,5,152.97,157.97,8.73
4,20250528_174520_595175,5.4,32,236.74,5,268.74,273.74,8.88
5,20250528_174521_092013,7.2,32,329.14,5,361.14,366.14,9.12
6,20250528_174521_574440,9.0,32,410.15,5,442.15,447.15,9.33
7,20250528_174522_076141,10.8,32,303.0,5,335.0,340.0,9.28
8,20250528_174522_559680,12.6,32,290.34,5,322.34,327.34,9.41
9,20250528_174522_812935,14.4,32,176.64,5,208.64,213.64,8.33
10,20250528_174523_144621,16.2,32,150.18,5,182.18,187.18,8.18
11,20250528_174523_398085,18.0,32,195.04,5,227.04,232.04,7.39
12,20250528_174523_713334,19.8,32,182.6,5,214.6,219.6,7.34
13,20250528_174523_999179,21.6,32,192.82,5,224.82,229.82,7.62
14,20250528_174524_312530,23.4,32,176.98,5,208.98,213.98,7.58
15,20250528_174524_602447,25.2,32,189.37,5,221.37,226.37,8.19
16,20250528_174524_886301,27.0,32,203.32,5,235.32,240.32,7.64
17,20250528_174525_207340,28.8,32,182.06,5,214.06,219.06,8.86
18,20250528_174525_492909,30.6,32,221.56,5,253.56,258.56,7.51
19,20250528_174525_811004,32.4,32,175.92,5,207.92,212.92,6.97
20,20250528_174526_104602,34.2,32,184.7,5,216.7,221.7,6.83
RESUMEN,-,-,32,214.17,5,246.17,251.17,8.24
TOTAL,-,-,-,-,-,7163.01,-,-
