Longitud de onda (nm),Intensidad
194.50391,1443.81796875
194.76986521677784,1378.28296875
195.0358068653064,1449.961875
195.30173494287823,1892.323125
195.5676494467858,1851.36375
195.83355037432162,1896.4190625
196.09943772277825,1925.090625
196.36531148944815,1775.58890625
196.63117167162386,1812.45234375
196.89701826659797,1794.020625
197.1628512716629,1818.59625
197.42867068411124,2072.544375
197.69447650123544,1781.7328125
197.9602687203281,1785.82875
198.22604733868164,1667.0465625
198.49181235358864,1863.6515625
198.7575637623416,1898.46703125
199.02330156223303,1828.83609375
199.28902575055548,1789.9246875
199.55473632460144,1843.171875
199.8204332816634,2007.009375
200.086116619034,1714.14984375
200.3517863340056,1748.9653125
200.6174424238708,1804.26046875
200.88308488592207,1982.43375
201.148713717452,1794.020625
201.4143289157531,1839.0759375
201.67993047811783,1863.6515625
201.9455184018387,1902.56296875
202.2110926842083,1771.49296875
202.4766533225191,1814.5003125
202.74220031406364,1896.4190625
203.0077336561344,1791.97265625
203.27325334602395,1714.14984375
203.53875938102473,1767.39703125
203.8042517584294,1869.79546875
204.0697304755303,1771.49296875
204.33519552962008,1720.29375
204.60064691799116,1834.98
204.86608463793613,1816.54828125
205.1315086867475,1773.5409375
205.3969190617178,1843.171875
205.66231576013945,1877.98734375
205.92769877930508,1837.02796875
206.19306811650716,1853.41171875
206.45842376903823,1869.79546875
206.72376573419078,1869.79546875
206.98909400925734,1906.65890625
207.25440859153042,1783.78078125
207.51970947830253,1781.7328125
207.78499666686625,1765.3490625
208.050270154514,1775.58890625
208.31552993853836,1832.93203125
208.58077601623185,1869.79546875
208.84600838488697,1980.38578125
209.1112270417962,1832.93203125
209.37643198425212,1841.12390625
209.64162320954725,1851.36375
209.90680071497405,1896.4190625
210.1719644978251,1818.59625
210.43711455539287,1832.93203125
210.70225088496989,1896.4190625
210.9673734838487,1794.020625
211.2324823493218,1767.39703125
211.49757747868168,1898.46703125
211.7626588692209,1865.69953125
212.02772651823196,1918.94671875
212.29278042300737,1779.68484375
212.5578205808397,1810.404375
212.82284698902137,1789.9246875
213.08785964484494,1777.636875
213.352858545603,1937.3784375
213.617843688588,1830.8840625
213.88281507109247,1785.82875
214.14777269040889,1894.37109375
214.41271654382984,1974.241875
214.6776466286478,1798.1165625
214.94256294215526,1789.9246875
215.20746548164482,1898.46703125
215.47235424440893,1816.54828125
215.73722922774016,1834.98
216.00209042893098,1753.06125
216.2669378452739,1820.64421875
216.5317714740615,1847.2678125
216.79659131258623,1855.4596875
217.06139735814062,1812.45234375
217.32618960801724,1804.26046875
217.59096805950855,1867.7475
217.85573270990707,1812.45234375
218.1204835565054,1865.69953125
218.38522059659596,2033.63296875
218.6499438274713,1681.38234375
218.91465324642394,1966.05
219.1793488507464,1759.20515625
219.4440306377312,1832.93203125
219.70869860467084,1898.46703125
219.97335274885788,1968.09796875
220.23799306758477,1781.7328125
220.5026195581441,1693.67015625
220.76723221782834,1861.60359375
221.03183104392997,1830.8840625
221.2964160337416,1812.45234375
221.56098718455573,1822.6921875
221.8255444936648,1775.58890625
222.09008795836144,1873.89140625
222.35461757593808,1820.64421875
222.61913334368725,1785.82875
222.8836352589015,1906.65890625
223.14812331887336,1853.41171875
223.41259752089528,1892.323125
223.6770578622598,1757.1571875
223.9415043402595,1849.31578125
224.20593695218685,1859.555625
224.47035569533432,1837.02796875
224.73476056699454,1820.64421875
224.9991515644599,1720.29375
225.26352868502303,1787.87671875
225.5278919259764,1947.61828125
225.79224128461246,1753.06125
226.05657675822385,1871.8434375
226.32089834410303,1804.26046875
226.5852060395425,1730.53359375
226.84949984183484,1908.706875
227.1137797482725,1877.98734375
227.378045756148,1869.79546875
227.6422978627539,1832.93203125
227.9065360653827,1988.57765625
228.17076036132693,1988.57765625
228.43497074787905,1890.27515625
228.69916722233165,1859.555625
228.9633497819772,1910.75484375
229.2275184241082,1755.10921875
229.4916731460173,1857.50765625
229.75581394499685,1902.56296875
230.01994081833948,1773.5409375
230.28405376333765,1703.91
230.54815277728386,1961.9540625
230.8122378574707,1810.404375
231.07630900119065,1834.98
231.3403662057362,1800.16453125
231.60440946839992,1869.79546875
231.86843878647426,1716.1978125
232.13245415725183,1851.36375
232.39645557802507,1800.16453125
232.66044304608653,1888.2271875
232.92441655872872,1701.86203125
233.18837611324415,1896.4190625
233.45232170692535,1843.171875
233.71625333706484,1791.97265625
233.98017100095512,1851.36375
234.24407469588874,1785.82875
234.50796441915818,1804.26046875
234.77184016805597,1804.26046875
235.03570193987463,1697.76609375
235.29954973190672,1996.76953125
235.5633835414447,1904.6109375
235.8272033657811,1886.17921875
236.09100920220843,1771.49296875
236.35480104801923,1888.2271875
236.61857890050598,1742.82140625
236.88234275696126,1751.01328125
237.14609261467754,1738.72546875
237.40982847094736,1804.26046875
237.67355032306324,1812.45234375
237.93725816831764,1884.13125
238.20095200400314,1832.93203125
238.46463182741226,1830.8840625
238.7282976358375,1890.27515625
238.99194942657138,1857.50765625
239.2555871969064,1736.6775
239.5192109441351,1818.59625
239.78282066554993,1923.04265625
240.04641635844354,1794.020625
240.30999802010837,1742.82140625
240.57356564783692,1884.13125
240.8371192389217,1755.10921875
241.1006587906553,1875.939375
241.36418430033018,1710.05390625
