Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_143357_054864,1785.99,1753.99,N/A
2,20250519_143358_756080,1683.93,1651.93,0.0
3,20250519_143400_463484,1695.69,1663.69,1.8
4,20250519_143402_137868,1659.92,1627.92,3.6
5,20250519_143403_846717,1692.54,1660.54,5.4
6,20250519_143405_585804,1726.91,1694.91,7.2
7,20250519_143407_277068,1678.7,1646.7,9.0
8,20250519_143408_984967,1694.22,1662.22,10.8
9,20250519_143410_688642,1692.01,1660.01,12.6
10,20250519_143412_370465,1668.7,1636.7,14.4
11,20250519_143414_124191,1738.33,1706.33,16.2
12,20250519_143415_853356,1714.8,1682.8,18.0
13,20250519_143417_547007,1680.07,1648.07,19.8
14,20250519_143419_262090,1699.89,1667.89,21.6
15,20250519_143420_965998,1691.05,1659.05,23.4
16,20250519_143422_681380,1701.56,1669.56,25.2
17,20250519_143424_389148,1694.11,1662.11,27.0
18,20250519_143426_084774,1679.74,1647.74,28.8
19,20250519_143427_820742,1723.37,1691.37,30.6
20,20250519_143429_551138,1717.94,1685.94,32.4
