Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_175111_618006,0.0,640,385.84,5,1025.84,1030.84,75.2
2,20250528_175112_705803,1.8,640,298.9,5,938.9,943.9,75.5
3,20250528_175113_718488,3.6,640,392.59,5,1032.59,1037.59,77.17
4,20250528_175114_826822,5.4,640,333.45,5,973.45,978.45,77.48
5,20250528_175115_913454,7.2,640,429.25,5,1069.25,1074.25,79.16
6,20250528_175117_097711,9.0,640,495.12,5,1135.12,1140.12,79.88
7,20250528_175118_189518,10.8,640,223.58,5,863.58,868.58,79.22
8,20250528_175119_218881,12.6,640,426.52,5,1066.52,1071.52,78.12
9,20250528_175120_244971,14.4,640,309.69,5,949.69,954.69,75.08
10,20250528_175121_323677,16.2,640,385.01,5,1025.01,1030.01,72.14
11,20250528_175122_476986,18.0,640,348.55,5,988.55,993.55,72.09
12,20250528_175123_561333,19.8,640,464.52,5,1104.52,1109.52,72.48
13,20250528_175124_737891,21.6,640,496.38,5,1136.38,1141.38,73.9
14,20250528_175125_992701,23.4,640,353.44,5,993.44,998.44,74.56
15,20250528_175127_019591,25.2,640,431.82,5,1071.82,1076.82,74.48
16,20250528_175128_167481,27.0,640,363.66,5,1003.66,1008.66,74.71
17,20250528_175129_285324,28.8,640,379.18,5,1019.18,1024.18,74.82
18,20250528_175130_337885,30.6,640,348.28,5,988.28,993.28,74.07
19,20250528_175131_345326,32.4,640,307.72,5,947.72,952.72,72.66
20,20250528_175132_433880,34.2,640,412.35,5,1052.35,1057.35,72.4
RESUMEN,-,-,640,379.29,5,1019.29,1024.29,75.26
TOTAL,-,-,-,-,-,22437.5,-,-
