Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144206_619805,1070.39,1038.39,N/A
2,20250519_144207_771763,1142.26,1110.26,0.0
3,20250519_144208_901442,1120.99,1088.99,1.8
4,20250519_144210_015094,1105.8,1073.8,3.6
5,20250519_144211_115137,1093.86,1061.86,5.4
6,20250519_144212_212650,1089.03,1057.03,7.2
7,20250519_144213_311586,1092.19,1060.19,9.0
8,20250519_144214_419124,1100.5,1068.5,10.8
9,20250519_144215_554444,1128.64,1096.64,12.6
10,20250519_144216_649472,1087.54,1055.54,14.4
11,20250519_144217_839222,1184.1,1152.1,16.2
12,20250519_144218_945206,1097.74,1065.74,18.0
13,20250519_144220_147180,1191.83,1159.83,19.8
14,20250519_144221_219142,1066.3,1034.3,21.6
15,20250519_144222_312338,1086.52,1054.52,23.4
16,20250519_144223_378207,1059.05,1027.05,25.2
17,20250519_144224_419686,1033.89,1001.89,27.0
18,20250519_144225_462273,1035.62,1003.62,28.8
19,20250519_144226_518337,1049.48,1017.48,30.6
20,20250519_144227_559405,1033.68,1001.68,32.4
