Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_131027_029059,0.0,160,159.46,5,319.46,324.46,38.08
2,20250528_131027_348070,1.8,160,94.48,5,254.48,259.48,38.64
3,20250528_131027_669242,3.6,160,107.11,5,267.11,272.11,39.3
4,20250528_131028_001062,5.4,160,97.63,5,257.63,262.63,39.37
5,20250528_131028_326677,7.2,160,103.62,5,263.62,268.62,39.62
6,20250528_131028_647928,9.0,160,91.68,5,251.68,256.68,39.46
7,20250528_131029_070368,10.8,160,198.72,5,358.72,363.72,38.68
8,20250528_131029_451111,12.6,160,159.82,5,319.82,324.82,37.62
9,20250528_131029_769173,14.4,160,95.91,5,255.91,260.91,36.87
10,20250528_131030_127254,16.2,160,133.66,5,293.66,298.66,36.28
11,20250528_131030_486272,18.0,160,91.73,5,251.73,256.73,36.66
12,20250528_131030_887380,19.8,160,172.04,5,332.04,337.04,37.42
13,20250528_131031_380316,21.6,160,277.61,5,437.61,442.61,37.33
14,20250528_131031_755010,23.4,160,102.63,5,262.63,267.63,37.41
15,20250528_131032_135071,25.2,160,143.69,5,303.69,308.69,37.63
16,20250528_131032_585786,27.0,160,218.01,5,378.01,383.01,37.48
17,20250528_131032_913876,28.8,160,96.22,5,256.22,261.22,38.11
18,20250528_131033_272613,30.6,160,133.57,5,293.57,298.57,37.25
19,20250528_131033_630354,32.4,160,118.27,5,278.27,283.27,37.07
20,20250528_131033_958396,34.2,160,106.57,5,266.57,271.57,36.93
RESUMEN,-,-,160,135.12,5,295.12,300.12,37.86
TOTAL,-,-,-,-,-,7854.28,-,-
